country,field,year,disclosed_investment,estimated_investment,complete,pillar,is_group
Australia,Data and analytics,2016,21.0,65,True,investment,False
Australia,Data and analytics,2017,19.0,25,True,investment,False
Australia,Data and analytics,2018,35.0,163,True,investment,False
Australia,Data and analytics,2019,68.0,197,True,investment,False
Australia,Data and analytics,2020,106.0,225,True,investment,False
Australia,Data and analytics,2021,622.0,2218,True,investment,False
Australia,Data and analytics,2022,352.0,542,True,investment,False
Australia,Data and analytics,2023,119.0,369,True,investment,False
Australia,Data and analytics,2024,1858.0,2297,True,investment,False
Australia,Data and analytics,2025,419.0,579,False,investment,False
Australia,Education,2015,0.0,0,True,investment,False
Australia,Education,2016,0.0,0,True,investment,False
Australia,Education,2017,2.0,2,True,investment,False
Australia,Education,2018,1.0,1,True,investment,False
Australia,Education,2019,1.0,2,True,investment,False
Australia,Education,2020,1.0,1,True,investment,False
Australia,Education,2021,7.0,17,True,investment,False
Australia,Education,2022,23.0,23,True,investment,False
Australia,Education,2023,1.0,2,True,investment,False
Australia,Education,2024,0.0,47,True,investment,False
Australia,Education,2025,1.0,1,False,investment,False
Australia,Energy and natural resources,2015,,44,True,investment,False
Australia,Energy and natural resources,2016,0.0,0,True,investment,False
Australia,Energy and natural resources,2017,2.0,3,True,investment,False
Australia,Energy and natural resources,2018,2.0,2,True,investment,False
Australia,Energy and natural resources,2019,3.0,3,True,investment,False
Australia,Energy and natural resources,2020,2.0,2,True,investment,False
Australia,Energy and natural resources,2021,6.0,65,True,investment,False
Australia,Energy and natural resources,2022,12.0,14,True,investment,False
Australia,Energy and natural resources,2023,54.0,75,True,investment,False
Australia,Energy and natural resources,2024,,44,True,investment,False
Australia,Energy and natural resources,2025,8.0,8,False,investment,False
Australia,Facial Recognition,2020,0.0,0,True,investment,False
Australia,Facial Recognition,2022,,6,True,investment,False
Australia,Facial Recognition,2023,,0,True,investment,False
Australia,Facial Recognition,2025,6.0,6,False,investment,False
Australia,Finance,2015,0.0,0,True,investment,False
Australia,Finance,2016,2.0,2,True,investment,False
Australia,Finance,2017,4.0,4,True,investment,False
Australia,Finance,2018,7.0,7,True,investment,False
Australia,Finance,2019,2.0,3,True,investment,False
Australia,Finance,2020,26.0,143,True,investment,False
Australia,Finance,2021,397.0,792,True,investment,False
Australia,Finance,2022,18.0,41,True,investment,False
Australia,Finance,2023,59.0,114,True,investment,False
Australia,Finance,2024,17.0,22,True,investment,False
Australia,Finance,2025,11.0,32,False,investment,False
Australia,Gaming,2015,0.0,0,True,investment,False
Australia,Gaming,2017,0.0,1,True,investment,False
Australia,Gaming,2018,1.0,1,True,investment,False
Australia,Gaming,2019,1.0,1,True,investment,False
Australia,Gaming,2020,0.0,0,True,investment,False
Australia,Gaming,2021,32.0,32,True,investment,False
Australia,Gaming,2022,1.0,1,True,investment,False
Australia,Gaming,2023,0.0,0,True,investment,False
Australia,General purpose,2015,6.0,50,True,investment,False
Australia,General purpose,2016,11.0,12,True,investment,False
Australia,General purpose,2017,16.0,21,True,investment,False
Australia,General purpose,2018,27.0,155,True,investment,False
Australia,General purpose,2019,67.0,218,True,investment,False
Australia,General purpose,2020,104.0,188,True,investment,False
Australia,General purpose,2021,617.0,1965,True,investment,False
Australia,General purpose,2022,356.0,546,True,investment,False
Australia,General purpose,2023,118.0,445,True,investment,False
Australia,General purpose,2024,1842.0,2190,True,investment,False
Australia,General purpose,2025,427.0,572,False,investment,False
Australia,Hardware,2015,0.0,0,True,investment,False
Australia,Hardware,2016,4.0,4,True,investment,False
Australia,Hardware,2017,2.0,5,True,investment,False
Australia,Hardware,2018,13.0,14,True,investment,False
Australia,Hardware,2019,18.0,41,True,investment,False
Australia,Hardware,2020,10.0,54,True,investment,False
Australia,Hardware,2021,74.0,84,True,investment,False
Australia,Hardware,2022,56.0,125,True,investment,False
Australia,Hardware,2023,68.0,189,True,investment,False
Australia,Hardware,2024,10.0,101,True,investment,False
Australia,Hardware,2025,204.0,219,False,investment,False
Australia,Healthcare and Life Sciences,2015,0.0,0,True,investment,False
Australia,Healthcare and Life Sciences,2016,2.0,3,True,investment,False
Australia,Healthcare and Life Sciences,2017,3.0,4,True,investment,False
Australia,Healthcare and Life Sciences,2018,5.0,7,True,investment,False
Australia,Healthcare and Life Sciences,2019,13.0,18,True,investment,False
Australia,Healthcare and Life Sciences,2020,16.0,17,True,investment,False
Australia,Healthcare and Life Sciences,2021,50.0,84,True,investment,False
Australia,Healthcare and Life Sciences,2022,13.0,55,True,investment,False
Australia,Healthcare and Life Sciences,2023,9.0,30,True,investment,False
Australia,Healthcare and Life Sciences,2024,6.0,60,True,investment,False
Australia,Healthcare and Life Sciences,2025,75.0,75,False,investment,False
Australia,Information Technology,2015,1.0,45,True,investment,False
Australia,Information Technology,2016,14.0,14,True,investment,False
Australia,Information Technology,2017,9.0,10,True,investment,False
Australia,Information Technology,2018,9.0,125,True,investment,False
Australia,Information Technology,2019,8.0,84,True,investment,False
Australia,Information Technology,2020,65.0,157,True,investment,False
Australia,Information Technology,2021,469.0,1922,True,investment,False
Australia,Information Technology,2022,292.0,444,True,investment,False
Australia,Information Technology,2023,78.0,188,True,investment,False
Australia,Information Technology,2024,57.0,289,True,investment,False
Australia,Information Technology,2025,311.0,404,False,investment,False
Australia,Lending and Investments,2016,0.0,0,True,investment,False
Australia,Lending and Investments,2017,3.0,3,True,investment,False
Australia,Lending and Investments,2019,0.0,0,True,investment,False
Australia,Lending and Investments,2020,,35,True,investment,False
Australia,Lending and Investments,2021,,386,True,investment,False
Australia,Lending and Investments,2024,0.0,0,True,investment,False
Australia,Manufacturing,2016,3.0,3,True,investment,False
Australia,Manufacturing,2017,2.0,2,True,investment,False
Australia,Manufacturing,2018,3.0,3,True,investment,False
Australia,Manufacturing,2019,3.0,4,True,investment,False
