provider_name,provider_id,provider_type,provider_hq_country,effective_country,input_name,input_id,input_name_full,input_type,production_stage,stage_id,input_data_year,share_provided,provision_year,input_market_size,source
BLR,P134,country,,BLR,Die attaching tools for IC,N131,Die attaching tools for IC,tool_resource,,,2024.0,0.1,2024,$1.1 billion (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
BLR,P134,country,,BLR,Manual wire bonders,N133,Manual wire bonders,tool_resource,,,2024.0,6.8,2024,$5.1 million (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
BLR,P134,country,,BLR,Automatic wedge bonders,N136,Automatic wedge bonders,tool_resource,,,2024.0,0.1,2024,$100 million (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
BLR,P134,country,,BLR,Process control tools,N60,Process control tools,tool_resource,,,2024.0,0.1,2024,$13.4 billion (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
BLR,P134,country,,BLR,Photomask inspection and repair tools,N62,Photomask inspection and repair tools,tool_resource,,,2024.0,0.5,2024,$2.1 billion (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
BLR,P134,country,,BLR,Dicing tools,N71,Dicing tools,tool_resource,,,2024.0,0.1,2024,$1.8 billion (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
BLR,P134,country,,BLR,Bonding tools,N72,Bonding tools,tool_resource,,,2024.0,0.1,2024,$2.3 billion (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
BLR,P134,country,,BLR,Die attaching tools,N73,Die attaching tools,tool_resource,,,2024.0,0.1,2024,$1.4 billion (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
BLR,P134,country,,BLR,Wire bonding tools,N74,Wire bonding tools,tool_resource,,,2024.0,0.1,2024,$702.5 million (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
BLUE Engineering,P356,organization,KOR,KOR,Burn-in test tools,N81,Burn-in test tools,tool_resource,,,2024.0,1.5,2024,$215.2 million (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 13, 2025."
Besi,P156,organization,NLD,NLD,Die attaching tools for IC,N131,Die attaching tools for IC,tool_resource,,,2024.0,30.9,2024,$1.1 billion (2024),"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
